isbn,title,authors,description,subjects,text,wiki_description
0809464799,The Human Dawn (TimeFrame),Time-Life Books,,Human evolution,The Human Dawn (TimeFrame) Time-Life Books Human evolution,
0451525221,The Scarlet Letter,Nathaniel Hawthorne,,"Fiction, Puritans, Puritans in fiction, History, Adultery in fiction, Adultery, Illegitimate children, Illegitimate children in fiction, Triangles (Interpersonal relations), Clergy, Married women in fiction, Married women, Clergy in fiction, Revenge, Revenge in fiction, Women immigrants, Women immigrants in fiction, Massachusetts in fiction, American fiction, Women, Women in fiction, Study guides, New England in fiction, Social life and customs, Examinations, Juvenile fiction, Young adult fiction, England in fiction, Vocabulary, Historical fiction, SAT (Educational test), English language, Nathaniel Hawthorne, Littérature, Adultère, Femmes, The scarlet letter (Hawthorne), Puritains, Romans, nouvelles, Romance Norte Americano, Manners and customs in fiction, Religeous Extremism in fiction, Interpersonal relations, Human relations, Mortal Sin, Hester Prynne (Fictitious character), Illegitimacy, Women tailors, Readers for new literates, High interest-low vocabulary books, Sound recordings for foreign speakers, Study and teaching as a second language, French, Psychological fiction, Manners and customs, Scarlet letter (Hawthorne, Nathaniel), Hawthorne, Nathaniel, 1804-1864, German, Spanish, American literature, Non-Classifiable, Children's fiction, Boston (mass.), fiction, Massachusetts, fiction, American fiction (fictional works by one author), Prynne, hester (fictitious character), fiction, Fiction, historical, New england, fiction, Clergy, fiction, Man-woman relationships, fiction, Married people, fiction, Fiction, psychological, Drama (dramatic works by one author), Fiction, romance, general, American literature, history and criticism, Large type books, FICTION / Classics, FICTION / Literary, Fiction, general, Reading comprehension, Problems, exercises, Readers (Adult), Foreign speakers, Study and teaching, Readers, English language, textbooks for foreign speakers, Fiction, war & military, Puritanos, Novela, Mujeres, Adulterio, Frau, Ehebruch, Interpersonal relations, fiction, Puritans, fiction, Fiction, historical, general, Young women, fiction, Adulteresses, Histoire, Triangle (Relations humaines), Enfants naturels, Immigrantes, Femmes mariées, Vengeance, Clergé, Classics, Literary, American literature (collections), Economic policy, World War, 1939-1945, Economic aspects, General, Dictionaries, Long Now Manual for Civilization","The Scarlet Letter Nathaniel Hawthorne Fiction, Puritans, Puritans in fiction, History, Adultery in fiction, Adultery, Illegitimate children, Illegitimate children in fiction, Triangles (Interpersonal relations), Clergy, Married women in fiction, Married women, Clergy in fiction, Revenge, Revenge in fiction, Women immigrants, Women immigrants in fiction, Massachusetts in fiction, American fiction, Women, Women in fiction, Study guides, New England in fiction, Social life and customs, Examinations, Juvenile fiction, Young adult fiction, England in fiction, Vocabulary, Historical fiction, SAT (Educational test), English language, Nathaniel Hawthorne, Littérature, Adultère, Femmes, The scarlet letter (Hawthorne), Puritains, Romans, nouvelles, Romance Norte Americano, Manners and customs in fiction, Religeous Extremism in fiction, Interpersonal relations, Human relations, Mortal Sin, Hester Prynne (Fictitious character), Illegitimacy, Women tailors, Readers for new literates, High interest-low vocabulary books, Sound recordings for foreign speakers, Study and teaching as a second language, French, Psychological fiction, Manners and customs, Scarlet letter (Hawthorne, Nathaniel), Hawthorne, Nathaniel, 1804-1864, German, Spanish, American literature, Non-Classifiable, Children's fiction, Boston (mass.), fiction, Massachusetts, fiction, American fiction (fictional works by one author), Prynne, hester (fictitious character), fiction, Fiction, historical, New england, fiction, Clergy, fiction, Man-woman relationships, fiction, Married people, fiction, Fiction, psychological, Drama (dramatic works by one author), Fiction, romance, general, American literature, history and criticism, Large type books, FICTION / Classics, FICTION / Literary, Fiction, general, Reading comprehension, Problems, exercises, Readers (Adult), Foreign speakers, Study and teaching, Readers, English language, textbooks for foreign speakers, Fiction, war & military, Puritanos, Novela, Mujeres, Adulterio, Frau, Ehebruch, Interpersonal relations, fiction, Puritans, fiction, Fiction, historical, general, Young women, fiction, Adulteresses, Histoire, Triangle (Relations humaines), Enfants naturels, Immigrantes, Femmes mariées, Vengeance, Clergé, Classics, Literary, American literature (collections), Economic policy, World War, 1939-1945, Economic aspects, General, Dictionaries, Long Now Manual for Civilization","The Scarlet Letter: A Romance is a historical novel by American author Nathaniel Hawthorne, published in 1850. Set in the Puritan Massachusetts Bay Colony during the years 1642 to 1649, the novel tells the story of Hester Prynne, who conceives a daughter with a man to whom she is not married and then struggles to create a new life of repentance and dignity. As punishment, she must wear a scarlet letter 'A' (for ""adultery"")."
0060002433,Sons of Heaven,Terrence Cheng,,"Bildungsromans, Fiction, Historical fiction, History, Fiction, war & military, Fiction, historical, general, China, fiction, Fiction, general, Fiction, political","Sons of Heaven Terrence Cheng Bildungsromans, Fiction, Historical fiction, History, Fiction, war & military, Fiction, historical, general, China, fiction, Fiction, general, Fiction, political","Son of Heaven, or Tianzi (Chinese: 天子; pinyin: Tiānzǐ), was the sacred monarchial and imperial title of the Chinese sovereign. It originated with the Zhou dynasty and was founded on the political and spiritual doctrine of the Mandate of Heaven. Since the Qin dynasty, the secular imperial title of the Son of Heaven was ""Huangdi""."
0440470218,Paddington takes the test,Michael Bond,,"Bears, Juvenile fiction, Children's stories, Fiction, Automobile drivers' tests, Families, Children's allowances, Magic shows, Manors, Paddington Bear (Fictitious character), Children's fiction, Bears, fiction, Paddington bear (fictitious character), fiction, Pictorial works","Paddington takes the test Michael Bond Bears, Juvenile fiction, Children's stories, Fiction, Automobile drivers' tests, Families, Children's allowances, Magic shows, Manors, Paddington Bear (Fictitious character), Children's fiction, Bears, fiction, Paddington bear (fictitious character), fiction, Pictorial works",
0373079206,Fugitive Bride  (Cameron Utah),Margaret Watson,,"Fiction, romance, general","Fugitive Bride  (Cameron Utah) Margaret Watson Fiction, romance, general",
039489569X,Raggedy Ann's picture-perfect Christmas,Gail Herman,,"Fiction, Dolls, Toys, Christmas, Juvenile fiction, Christmas stories","Raggedy Ann's picture-perfect Christmas Gail Herman Fiction, Dolls, Toys, Christmas, Juvenile fiction, Christmas stories",
0679438696,I lived to tellit all,George Jones,,"Country musicians, Biography","I lived to tellit all George Jones Country musicians, Biography",
0821736582,Nevada temptation,Gwen Cleary,,"Fiction, general, Fiction","Nevada temptation Gwen Cleary Fiction, general, Fiction",
0060166231,Maqroll,Alvaro Mutis,,"Fiction, general, el Gaviero Maqroll (Fictitious character), Fiction","Maqroll Alvaro Mutis Fiction, general, el Gaviero Maqroll (Fictitious character), Fiction",The Adventures and Misadventures of Maqroll (orig. Spanish  Empresas y Tribulaciones de Maqroll el Gaviero) is a compilation of novellas by Colombian author Álvaro Mutis. The previously published novellas were published as a two-volume collection in Colombia in 1993.
0151135983,Borrowed time,Paul Monette,,"Health, Patients, AIDS (Disease), Biography, Psychology, Personal Narratives, Acquired Immunodeficiency Syndrome, Gay men, Gay, Gay's writings, American, Autobiography, Aids (disease), patients, biography, LGBTQ HIV/AIDS, LGBTQ biography and memoir, Lambda Literary Awards, Lambda Literary Award Winner, Authors, american, Attitude to Death","Borrowed time Paul Monette Health, Patients, AIDS (Disease), Biography, Psychology, Personal Narratives, Acquired Immunodeficiency Syndrome, Gay men, Gay, Gay's writings, American, Autobiography, Aids (disease), patients, biography, LGBTQ HIV/AIDS, LGBTQ biography and memoir, Lambda Literary Awards, Lambda Literary Award Winner, Authors, american, Attitude to Death",
0380722925,There's a Boy in Here,"Judy Barron, Sean Barron",,"Autistic children, Patients, Health, Rehabilitation, Biography, Autism, Parent and child","There's a Boy in Here Judy Barron, Sean Barron Autistic children, Patients, Health, Rehabilitation, Biography, Autism, Parent and child",
0399126333,Cruiser dreams,Janet Morris,,"sci fi, American Science fiction, Fiction, general","Cruiser dreams Janet Morris sci fi, American Science fiction, Fiction, general",
0060920335,Sure of You,Armistead Maupin,,"City and town life, Fiction, San francisco (calif.), fiction, Fiction, lgbtq+, gay, California, fiction, Gay men, Fiction, gay, Social life and customs, Families, Women television personalities, Manners and customs","Sure of You Armistead Maupin City and town life, Fiction, San francisco (calif.), fiction, Fiction, lgbtq+, gay, California, fiction, Gay men, Fiction, gay, Social life and customs, Families, Women television personalities, Manners and customs","Sure of You (1989) is the sixth book in the Tales of the City series by San Francisco novelist Armistead Maupin. The story takes place around the eve of the 1988 presidential election in the U.S., three years after the previous book Significant Others. The book was written as the end of the Tales series and is the antithesis of the first book."
0060971177,Less than angels,Barbara Pym,,"Anthropologists, Fiction, Fiction in English, Large type books, Fiction, general, England, fiction, London (england), fiction, Anthropologists, fiction","Less than angels Barbara Pym Anthropologists, Fiction, Fiction in English, Large type books, Fiction, general, England, fiction, London (england), fiction, Anthropologists, fiction",
0393956008,Cane,Jean Toomer,,"African Americans, African Americans in literature, American fiction, Fiction, Literary collections, Fiction, short stories (single author), African americans, fiction, Southern states, fiction, Criticism and interpretation, Social life and customs, Racism, FICTION / African American / General, FICTION / Classics, FICTION / Literary, American literature, Toomer, jean , 1894-1967, African americans--fiction, Ps3539.o478 c3 2011, 813/.52, Ps3539.o478 c3 1988, Fiction, general","Cane Jean Toomer African Americans, African Americans in literature, American fiction, Fiction, Literary collections, Fiction, short stories (single author), African americans, fiction, Southern states, fiction, Criticism and interpretation, Social life and customs, Racism, FICTION / African American / General, FICTION / Classics, FICTION / Literary, American literature, Toomer, jean , 1894-1967, African americans--fiction, Ps3539.o478 c3 2011, 813/.52, Ps3539.o478 c3 1988, Fiction, general",Cane or caning may refer to:
0002116286,There's a seal in my sleeping bag.,Lyn Hancock,,"Popular works, Seals (Animals), Anecdotes, Zoology, Animals, Marine mammals, Birds, Mammifères marins, Oiseaux, Pacifique, Côte du (Amérique du Nord), Seals (animals), Zoology, canada","There's a seal in my sleeping bag. Lyn Hancock Popular works, Seals (Animals), Anecdotes, Zoology, Animals, Marine mammals, Birds, Mammifères marins, Oiseaux, Pacifique, Côte du (Amérique du Nord), Seals (animals), Zoology, canada",
